146|18|10077|803
146|18|10078|803
170|464|1007882|201083
146|18|10079|803
27869|16163|100797|16380
146|18|10081|803
146|18|10082|806
27606|2278|100823|
27635|13746|100827|14762
29935|30653|100828|24968
146|18|10083|806
146|18|10084|803
3264|7418|1008439|121237
146|18|10085|803
146|18|10086|806
29947|26625|100862|22819
146|18|10087|806
509|1130|1008773|5053
7570|1130|1008773|5053
146|18|10088|806
17746|19285|100883|91916
146|18|10089|806
112|147|1009|4712
146|18|10090|806
27611|21964|100906|25861
146|18|10091|806
146|18|10092|806
146|18|10093|806
27474|475|100938|20023
146|18|10094|806
146|18|10095|806
699|3682|1009588|189096
146|18|10096|806
146|18|10097|807
146|18|10098|807
224|11461|100985|
146|18|10099|807
12908|23090|100999|19600
146|18|10100|807
30761|1908|101004|11446
146|18|10101|807
337|337|101015|9698
29947|266898|101016|25032
146|18|10102|806
146|18|10103|807
146|18|10104|807
146|18|10105|807
146|18|10106|807
146|18|10107|807
27612|1990|101070|
146|18|10108|807
3264|3264|101089|
146|18|10109|807
932957|4|1011|5002
146|18|10110|198981
40475|40475|1011048|318134
2194|977|101113|25055
27794|1460|101126|11881
146|18|10113|810
29947|29947|101137|
19829|19829|101156|25073
146|18|10116|810
146|18|10117|810
987335|30639|101170|25079
146|18|10118|810
146|18|10119|810
27474|15999|101191|25086
146|18|10120|810
20185|643|101216|25090
27606|643|101216|25090
146|18|10122|810
491|18054|101224|
2726|3542|1012299|261049
146|18|10123|810
5214|584|101237|1441
7573|7573|1012487|42042
146|18|10125|811
146|18|10126|811
224|455|101262|16129
146|18|10127|810
10418|14325|101276|
20185|14325|101276|
72|14325|101276|
146|18|10128|811
7570|162|101282|21155
146|18|10129|811
2268|30904|101291|25114
146|18|10130|810
27472|1421|101303|
13585|13585|1013142|111247
49967|318|101319|18618
146|18|10132|810
224|14272|101320|
17746|15178|101321|25133
27665|6412|101323|430953
27258|6412|101327|418547
146|18|10133|813
491|491|101333|411117
2726|141661|1013390|144331
146|18|10134|813
2268|12187|101341|25136
2268|12187|101348|25136
27606|579488|101351|155809
27987|1583|101352|11150
146|18|10137|813
13046|11395|101381|20176
146|18|10139|36448
7161|127|1014|9048
146|18|10141|148367
932957|42|101423|24112
82|148|1014268|164021
2726|141661|1014296|144331
123|42|101447|24112
11546|2318|101453|25160
42536|42536|1014565|105163
37762|614|101460|10685
112|1425|1014766|6452
23315|13220|101516|24717
337|530|1015333|36948
39574|42|101590|24112
932957|42|101590|24112
27612|130|1016|2627
1553|4637|1016060|121084
7573|4637|1016060|121084
7573|885|1016376|121084
1553|30230|1016899|121084
29978|1630|101702|489437
987335|30639|101716|25079
32429|13434|101723|24068
70|20473|101737|25232
45255|118|101761|
7122|18731|101780|
27665|31123|101783|25245
49829|396|1018|10393
27259|2318|101806|19327
27606|16808|101818|
11546|2011|101835|465513
29780|1450|101838|
1056|202|10185|824
2194|31152|101853|
31168|42|101883|24198
27258|19587|101885|25266
27258|19587|101887|25266
27258|19587|101894|25266
27258|19587|101896|25266
224|283507|101898|116240
