SlopFunkDust,!llmind
The Jaded Outspoken Kid Evolving Rap,!llmind
Organized Konfusion,Large Professor
Belly,Scott Storch
Boot Camp Clik,Large Professor
Chris Lane,Scott Storch
Tyrese,Scott Storch
Yella Beezy,Scott Storch
ToteKing,!llmind
The Beatnuts,Large Professor
Apache,Large Professor
No Malice,!llmind
Kiley Dean,Scott Storch
Funkoars,Scott Storch
That Hooligan Casanova,!llmind
Ludacris,Scott Storch
London Jae,Travis Scott
Xzibit,!llmind
Public Enemy,Large Professor
Kelly Rowland,Scott Storch
Massari,Scott Storch
Tragedy Khadafi,Large Professor
Joe Budden,Scott Storch
Chris Webby,Scott Storch
U-God,Large Professor
Maluma,Scott Storch
BET Rap City BackRoom,!llmind
IshDARR,!llmind
Napoleon Da Legend,!llmind
Chris Brown,Scott Storch
Young Thug & Travis Scott,Travis Scott
Raheem DeVaughn,Scott Storch
2 Chainz,!llmind
Skyzoo & Torae,!llmind
Sir Malik,!llmind
Billy Early,!llmind
Al Taylor,Scott Storch
S1 & Illmind,!llmind
Von Alexander,!llmind
Trav,Travis Scott
Saintandrea,Travis Scott
Deezy D,!llmind
Skylar Grey,Travis Scott
HS87,Travis Scott
Dream (Girl Group),Scott Storch
Automatikk,Scott Storch
Ice Cube,Scott Storch
Calvin Harris,Travis Scott
Surf Club,Travis Scott
Mýa,Scott Storch
Producer Genius,Large Professor
Large Professor,Large Professor
Kelis,Scott Storch
French Montana,Travis Scott
Big L,Large Professor
Roxanne Shanté,Large Professor
Homeboy Sandman,Large Professor
H Da Kid,!llmind
Reks,Large Professor
Puff Daddy,Travis Scott
Kamaiyah,Travis Scott
Powerule,Large Professor
ScHoolboy Q, 2 Chainz & Saudi,!llmind
DJ Khaled,Scott Storch
Savas & Sido,!llmind
Southcott,Travis Scott
Big Noyd,Large Professor
Lil Wayne,Travis Scott
Jake Spooner,Scott Storch
Yung Illie,!llmind
Sheck Wes,Travis Scott
Smokepurpp,Travis Scott
A-Dre,!llmind
Lil AK74 the Original Kooliboi,Travis Scott
Preme,Travis Scott
Blac Youngsta,Scott Storch
A Boogie wit da Hoodie,Scott Storch
Styles P,Scott Storch
Roddy Ricch,Scott Storch
Shotta,!llmind
Tyrint Adio,!llmind
Trippie Redd,Scott Storch
Kris Wu,Travis Scott
Gripz,!llmind
Tyler Devlin,Travis Scott
Mr. Krane,Scott Storch
BROTHER kooda,Travis Scott
Poo Bear,!llmind
Lil Uzi Vert,!llmind
Dela,Large Professor
Travis Scott & Skrillex,Travis Scott
Young Nudy,!llmind
Kendrick Lamar & Jay Rock,Large Professor
Masta Killa,!llmind
Eve,Scott Storch
Trey Songz,Scott Storch
Trip Lee,!llmind
Jordan Fisher,!llmind
Clayton Jokythur,Scott Storch
Kool G. Rap & DJ Polo,Large Professor
Major Lazer,Travis Scott
Nyck Caution,Travis Scott
Тимати (Timati),Scott Storch
Pete Rock & C.L. Smooth,Large Professor
Casanova,Scott Storch
P!nk,Scott Storch
The Game,Scott Storch
Dave East,!llmind
Martin Malota,!llmind
TBHits,Travis Scott
Danger Mouse,Large Professor
Jadakiss,Scott Storch
Keyshia Cole,Scott Storch
Khalid,!llmind
Akrobatik,!llmind
Chuck Inglish,Travis Scott
Cuntscicle,Travis Scott
King Libra,Travis Scott
Doctor Dre & Ed Lover,Large Professor
Meek Mill,Scott Storch
Fetty Wap & PnB Rock,Scott Storch
Chief Keef,Travis Scott
Meyhem Lauren,Large Professor
Halsey,Scott Storch
Rakaa Iriscience,!llmind
Eminem,!llmind
Daddy Yankee,Scott Storch
PnB Rock,Scott Storch
Ansel Elgort,Scott Storch
Dicecapo,Travis Scott
Idyll,!llmind
Mobb Deep,Scott Storch
21 Savage,Travis Scott
G Perico,Scott Storch
Justin Timberlake,Scott Storch
Akinyele,Large Professor
WC,Scott Storch
Drake,Scott Storch
Yaro,Travis Scott
S1,!llmind
