Karencitta,Cool & Dre
Jermaine Dupri & Ludacris,Jermaine Dupri
TiiLeJefe,A$AP Ty Beats
Devy Rich,Ciscosquad
Fetty Wap & PnB Rock,Scott Storch
The Game,Salaam Remi
ATL,AraabMUZIK
May Rock,Cam O'bi
Jay Young,Hit-Boy
Martin $ky,MF DOOM
Cassie,Young Chop
Sarah Vaughan,Quincy Jones
Cap-1,Metro Boomin
Conway,Southside
Young Dolph,30 Roc
Inspectah Deck,Kurupt
Bruno Mars,Diplo
Nick Grant,Hit-Boy
Total,Puff Daddy
Society of Soul,Organized Noize
Sez Batters,Lex Luger
Eve,Salaam Remi
Weiland,CaptainCrunch
New Kids on the Block,Timbaland
Keyshia Cole,Hit-Boy
MØ,Cashmere Cat
S1,!llmind
Mint Condition,J Dilla
Boot Camp Clik,Hi-Tek
OG Maco,HUMbeats
Deetranada,KAYTRANADA
MASTAMIIND,WondaGurl
Lord Tariq & Peter Gunz,The Neptunes
Kanye West,Charlie Heat
PLAZA,Bijan Amir
Diabolic,DJ Premier
JLMZ,40
OTF Nunu,Boi-1da
NAV,DJ Khaled
CrispyBaHRbeque,Murda Beatz
Control,Mike WiLL Made-It
PackFM,Hi-Tek
YoungJonThePipeGod,MaxoKoolin
MRA (Black Genesis),Just Blaze
The Roots,J Dilla
Travis Scott,Cashmere Cat
Angus & Julia Stone,Rick Rubin
FLEXIBLELOVE,MaxoKoolin
Gym Class Heroes,Cool & Dre
DJ Kay Slay,The Alchemist
Migos,TM88
Ars-Nova,Sango
King Space,!llmind
Rick Ross,Jahlil Beats
Poo Bear,TM88
Yung Zyrex,Windxws
Skillz,Hi-Tek
EarlWolf,Nottz
YoungBoy Never Broke Again,Bighead
Tay 600,Metro Boomin
Animepapi,Bobby Johnson Beats
Arsonists,DJ Babu
Scott Bradlee's Postmodern Jukebox,Diplo
Lil Tracy,Menace
XsMph,Chuck Inglish
AK Wildin,CashMoneyAP
Jeremih,DJ Spinz
A$AP Mob,Slade Da Monsta
TeeFlii,Kevin McCall
Self Provoked,DJ Hoppa,DJ Hoppa
Meddaman,Bassi Maestro
SPZZy,Johnny Juliano
Dunson,Harry Fraud
Christina Aguilera,Sango
Yung Bones,Menoh Beats
Curren$y,808-Ray
French Montana & Max B,Diplo
Eldorado Red,Southside
L'ARTISTE (Max Palmer),Young Chop
Drxco,TOOM
La Coka Nostra,Beat Butcha
Who Is Gavin,Scott Storch
Akeem Jahat,Zaytoven
Lil Pump,Diplo
Tommie,Tay Keith
Deranger,WondaGurl
Matt Thomas,Southside
Metal Ring and Butterfly,9th Wonder
Jungle Chainz,Ronny J
24hrs,Hit-Boy
Amir Royale,Missy Elliott
Rupee,Salaam Remi
Kur & Dave East,Maaly Raw
Moneybagg Yo,Southside
Famous Dex,Deko
McAshHole,CashMoneyAP
Miguel,J Dilla
A$AP Rocky,DJ Khalil
Daeg,BYOU$
Kendrick Lamar & Travis Scott,CuBeatz
K Camp,Dee Money
101Barz,CuBeatz
Sylvan LaCue,London on da Track
Hustensaft Jüngling,Deko
Trey Songz,Kane Beatz
BIA,Pharrell Williams
Rae Sremmurd,Travis Scott
Travis Scott,Cardo
T-Pain & Lil Wayne,T-Pain
Sango,Sango
SHUG,Missy Elliott
Kendrick Lamar,Iman Omari
Brookz aka. ChefBoyOD,Jahlil Beats
JAY-Z,Erick Sermon
R.A. The Rugged Man,Marco Polo
DJ Khaled,Mike WiLL Made-It
Sean Toner,Mr. Carmack
The Isley Brothers,Puff Daddy
Dave East,CashMoneyAP
AZ,Statik Selektah
Dayvi,DP Beats
Kanye West & Kendrick Lamar,Kanye West
Ty Dolla $ign,Travis Scott
Oogie Mane,Oogie Mane
2 Chainz,40
Fijimacintosh,BL$$D
7 Days of Funk,Kurupt
Bishop Nehru,J Dilla
Gucci Mane,T-Pain
Chris Brown,Swizz Beatz
Nicki Minaj,J.R. Rotem
Cousin Stizz,Smash David
Kaysha,40
Kent M$ney,Hit-Boy
Big Sauce, Kc Foomz, PapaSmurf,EarlThePearll
Meek Mill,Sonny Digital
PnB Rock,Sonny Digital
T.I.,1500 or Nothin'
Polo Tha God,Sonny Digital
Audio Push,Sorry Jaynari
Jessica Dime,Zaytoven
Evidence,DJ Babu
DJ Holiday,K.E. on the Track
1WayFrank,Young Chop
Kuniva,Salaam Remi
Tris Be,Lee Bannon
Rizzie Redd,40
N.O.R.E.,DJ Khaled
Shaquees,Murda Beatz
Louis The Child,Rogét Chahayed
Tyga,Kurupt
Kanye West & Lil Pump,Mike Dean
Rapsody,DJ Premier
Ryozo (lil reo),Haven Beats
Capone-N-Noreaga,Scott Storch
RGPolska Tłumaczenia,Ronny J
Gliffics,J Dilla
Vader the Wildcard,40
PRhyme,MF DOOM
Backstreet Boys,Kuk Harrell
Sauce Walka,Carnage
Mariah Carey,Mustard
Young M.A,DJ Burn One
C-Bo,Mike Dean
Zae,Thelonious Martin
Sexion d'Assaut,Boi-1da
Joell Ortiz,Salaam Remi
OfficialZIP,40
Monster,Sounwave
Lil Number 48,MaxoKoolin
K. Michelle,Drumma Boy
Sean C. Johnson,J Dilla
Wolf Henson,Sango
Estelle,Kanye West
Kanye West,Quincy Jones
Ma$e,DJ Khaled
Cousin Stizz,WondaGurl
Eldorado Red,Mike WiLL Made-It
B7shop,London on da Track
Jamie Foxx,Quincy Jones
N.E.R.D & Future,Pharrell Williams
LevyGrey,T-Pain
Termanology,Nottz
Mac Miller,Thelonious Martin
Snow Tha Product,Cardo
Stush Kaiser/KidStush,Chuck Strangers
Triple C's,Lex Luger
Anisa Pashaj,K.E. on the Track
Blac Bean,Based1
Lil' Snupe,J.U.S.T.I.C.E. League
Zane,Bangladesh
Seint Ruin,CashMoneyAP
DAF BOYZ,Tyler, The Creator
Marcus Black,Bongo
Phillz the MC,Jahlil Beats
Ricky Racks,Ricky Racks
Petey Pablo,Missy Elliott
Mick Jenkins,DJ Dahi
JusC,Bighead
Twiztid,Jake One
Kendrick Lamar,STREETRUNNER
Little Brother,Mr. Porter
YvngDaSavage,CashMoneyAP
DJ Scheme,Cris Dinero
Hodgy,J Dilla
Kobe022,K. Swisha
NATEtheKiDD,CashMoneyAP
LongLiveSkeet,K.E. on the Track
Yung Martyfact,CashMoneyAP
Bishop Lamont,9th Wonder
SNACKY CRACKY,CashMoneyAP
The Underachievers,Statik Selektah
James Graham,DJ Khaled
Wordsplayed,GAWVI
