song_id|song_title|album_id|album_title|cover_art_url|performer_id|performer_name|performer_img_url|release_date|release_year|release_month|release_day|apple_music_player_url|producer_id
2961664|Go Off|333548|The Fate of the Furious: The Album|https://images.genius.com/6856df92d41784e6d1bd023b4e381366.1000x1000x1.jpg|1112475|Lil Uzi Vert, Quavo & Travis Scott|https://images.genius.com/6fe4795d73c896daad6e9a5aea288261.378x378x1.jpg|2017-03-02|2017|3|2|https://genius.com/songs/2961664/apple_music_player|95489
2893059|Offended|138044|DC4|https://images.genius.com/f8af8f6ec3550a415d9bc3633442f249.1000x1000x1.jpg|1319|Meek Mill|https://images.genius.com/6929169de7116d41676151bdea5cc773.1000x1000x1.jpg|2016-10-27|2016|10|27|https://genius.com/songs/2893059/apple_music_player|95489
3386843|Huncho Jack|338359|Huncho Jack, Jack Huncho|https://images.genius.com/20b1cc084fe667536d25241bde3aae02.903x903x1.jpg|1043518|HUNCHO JACK|https://images.genius.com/fee61bc828bb5764eb3a79aee0680b98.770x770x1.jpg|2017-12-22|2017|12|22|https://genius.com/songs/3386843/apple_music_player|95489
3030898|Still Got Time|347254|The RCA-List (Vol. 6)|https://images.genius.com/e5a155e0dce8424e7f18b35fcf216119.300x300x1.jpg|339472|ZAYN|https://images.genius.com/6818a27a849fdbc099f7a39d5a819727.810x810x1.jpg|2017-03-24|2017|3|24|https://genius.com/songs/3030898/apple_music_player|95489
2168784|Pipe It Up|119474|Yung Rich Nation|https://images.genius.com/ea0d2c1e2ee0567dd2890f3e3537544b.1000x1000x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2015-07-31|2015|7|31|https://genius.com/songs/2168784/apple_music_player|95489
3468918|Gang Gang|369295|Culture II |https://images.genius.com/895c52591bf983ebe6e8821f23e4642e.999x999x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2018-01-26|2018|1|26|https://genius.com/songs/3468918/apple_music_player|95489
3386847|Saint|338359|Huncho Jack, Jack Huncho|https://images.genius.com/20b1cc084fe667536d25241bde3aae02.903x903x1.jpg|1043518|HUNCHO JACK|https://images.genius.com/fee61bc828bb5764eb3a79aee0680b98.770x770x1.jpg|2017-12-22|2017|12|22|https://genius.com/songs/3386847/apple_music_player|95489
3533081|123|389797|Bless Yo Trap|https://images.genius.com/7466312ef70d305b5f8f34dfa81556fa.596x596x1.png|1318892|Smokepurpp & Murda Beatz|https://images.genius.com/2c8380bd7ad1eaca0a60f66d2cae5ec7.827x827x1.jpg|2018-03-01|2018|3|1|https://genius.com/songs/3533081/apple_music_player|95489
3386845|Eye 2 Eye|338359|Huncho Jack, Jack Huncho|https://images.genius.com/20b1cc084fe667536d25241bde3aae02.903x903x1.jpg|1043518|HUNCHO JACK|https://images.genius.com/fee61bc828bb5764eb3a79aee0680b98.770x770x1.jpg|2017-12-21|2017|12|21|https://genius.com/songs/3386845/apple_music_player|95489
4014122|HUNCHO DREAMS|459148|QUAVO HUNCHO|https://images.genius.com/39a1f9d0d1403b9749469ec36ad251e9.1000x1000x1.jpg|61600|Quavo|https://images.genius.com/f1ff6c1619a1b9e7adaa8b8789f23c68.563x563x1.jpg|2018-10-11|2018|10|11|https://genius.com/songs/4014122/apple_music_player|95489
371494|Antidope|104703|No Label II|https://images.genius.com/5a1b1025a740699512cda5bf7bc72bd3.1000x1000x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2014-02-25|2014|2|25|https://genius.com/songs/371494/apple_music_player|95489
3948198|KANGA|456145|DUMMY BOY|https://images.genius.com/16c572cee652b4b917b43149499f8731.640x640x1.jpg|1124097|6ix9ine|https://images.genius.com/fdff770a8e2f4dfd1695a99199665c29.805x805x1.png|2018-11-27|2018|11|27|https://genius.com/songs/3948198/apple_music_player|95489
3782528|Bigger Than You|438741|Rap or Go to the League|https://assets.genius.com/images/default_cover_art.png?1550160033|14325|2 Chainz|https://images.genius.com/f82a00deb2e816cc89005a9839eead69.1000x1000x1.jpg|2018-06-15|2018|6|15|https://genius.com/songs/3782528/apple_music_player|95489
3733974|Forever Ever|410684|LIFE'S A TRIP|https://images.genius.com/f229b260545f0c0e7dc6115e44ed7c83.1000x1000x1.jpg|1086436|Trippie Redd|https://images.genius.com/ee884ee46d5f65bae5907c801ae77cf6.640x640x1.jpg|2018-08-10|2018|8|10|https://genius.com/songs/3733974/apple_music_player|95489
2489747|Back on Road|158712|Everybody Looking|https://images.genius.com/617f679ecf3e40194443f9c9117e6712.1000x1000x1.jpg|13|Gucci Mane|https://images.genius.com/6f0a4980c8ef838036229e1d4dcd036c.408x408x1.jpg|2016-06-04|2016|6|4|https://genius.com/songs/2489747/apple_music_player|95489
3890518|WORKIN ME|459148|QUAVO HUNCHO|https://images.genius.com/39a1f9d0d1403b9749469ec36ad251e9.1000x1000x1.jpg|61600|Quavo|https://images.genius.com/f1ff6c1619a1b9e7adaa8b8789f23c68.563x563x1.jpg|2018-08-10|2018|8|10|https://genius.com/songs/3890518/apple_music_player|95489
