song_id, song_title, album_id, performer_id, release_date, release_year, release_month, release_day, apple_music_player_url
3890637 , Sir , 484805 , 92 , 2018-08-10 , 2018 , 8 , 10 , https://genius.com/songs/3890637/apple_music_player
3821791 , 31 DAYS , 443152 , 2197 , 2018-07-05 , 2018 , 7 , 5 , https://genius.com/songs/3821791/apple_music_player
305169 , Ounces , 104703 , 44080 , 2013-12-17 , 2013 , 12 , 17 , https://genius.com/songs/305169/apple_music_player
2989281 , When I Was Broke , 330482 , 2197 , 2017-02-17 , 2017 , 2 , 17 , https://genius.com/songs/2989281/apple_music_player
182654 , Versace (Freestyle) ,  , 1319 ,  , 2013 ,  ,  , https://genius.com/songs/182654/apple_music_player
2937975 , Shoulda Left You , 321976 , 1048987 , 2016-12-22 , 2016 , 12 , 22 , https://genius.com/songs/2937975/apple_music_player
2830078 , Money Mitch , 159409 , 217208 , 2016-07-31 , 2016 , 7 , 31 , https://genius.com/songs/2830078/apple_music_player
2989284 , Feds Did a Sweep , 330482 , 2197 , 2017-02-17 , 2017 , 2 , 17 , https://genius.com/songs/2989284/apple_music_player
201253 , Morgan Tracy , 26355 , 16808 , 2013-08-06 , 2013 , 8 , 6 , https://genius.com/songs/201253/apple_music_player
236837 , Shooters ,  , 44080 , 2013-03-13 , 2013 , 3 , 13 , https://genius.com/songs/236837/apple_music_player
