song_id|song_title|album_id|performer_id|release_date|release_year|release_month|release_day|apple_music_player_url
3109393 | If You Want My Heart | 229384 | 20850 | 2017-05-26 | 2017 | 5 | 26 | https://genius.com/songs/3109393/apple_music_player
3100143 | Kindness | 229384 | 20850 | 2017-06-02 | 2017 | 6 | 2 | https://genius.com/songs/3100143/apple_music_player
1561358 | A Simple Motion | 424703 | 79055 | 2012-11-12 | 2012 | 11 | 12 | https://genius.com/songs/1561358/apple_music_player
188536 | Send Me A Picture |  | 1258194 | 2012-11-23 | 2012 | 11 | 23 | https://genius.com/songs/188536/apple_music_player
2443679 | Girls, Girls, Girls (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2443679/apple_music_player
2310350 | Phrentrow | 8806 | 244 | 2002-11-26 | 2002 | 11 | 26 | https://genius.com/songs/2310350/apple_music_player
118060 | King On Set | 129950 | 85 |  | 2008 |  |  | https://genius.com/songs/118060/apple_music_player
2423029 | Smoove Jones Afta Glow Show (Outro) | 144047 | 339 | 2016-02-14 | 2016 | 2 | 14 | https://genius.com/songs/2423029/apple_music_player
2456039 | Jigga That N**** (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2456039/apple_music_player
3100136 | Do You Believe | 229384 | 20850 | 2017-06-02 | 2017 | 6 | 2 | https://genius.com/songs/3100136/apple_music_player
1106511 | Break You Off (Original Version) | 8806 | 244 |  | 2002 |  |  | https://genius.com/songs/1106511/apple_music_player
1672050 | Din Da Da | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/1672050/apple_music_player
2449673 | Hard Knock Life (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2449673/apple_music_player
64655 | Been Doin' This | 14393 | 745 |  |  |  |  | https://genius.com/songs/64655/apple_music_player
3017942 | Dear Summer | 334714 | 1265998 | 2017-03-09 | 2017 | 3 | 9 | https://genius.com/songs/3017942/apple_music_player
2450158 | Ain't No (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2450158/apple_music_player
1842379 | If You Dream | 129950 | 1057 |  |  |  |  | https://genius.com/songs/1842379/apple_music_player
2331193 | Enemy | 127679 | 9477 | 2015-06-30 | 2015 | 6 | 30 | https://genius.com/songs/2331193/apple_music_player
179872 | The Hangover | 10827 | 42 | 2011-01-31 | 2011 | 1 | 31 | https://genius.com/songs/179872/apple_music_player
1046266 | Gangsta Love | 175401 | 415 |  |  |  |  | https://genius.com/songs/1046266/apple_music_player
432751 | Tupac Back |  | 14325 |  |  |  |  | https://genius.com/songs/432751/apple_music_player
2861487 | Smoove Jones Radio (Intro) | 144047 | 339 | 2016-02-14 | 2016 | 2 | 14 | https://genius.com/songs/2861487/apple_music_player
930163 | Lay Back & Chill | 46745 | 74866 |  | 2008 |  |  | https://genius.com/songs/930163/apple_music_player
2829037 | K.I.S.S. (Keep It Simple Sexy) |  | 698 | 2016-07-21 | 2016 | 7 | 21 | https://genius.com/songs/2829037/apple_music_player
1822628 | Intro (MDMA) | 6317 | 196 |  | 2011 |  |  | https://genius.com/songs/1822628/apple_music_player
2170151 | Stop Playin' | 64230 | 9477 | 2013-12-10 | 2013 | 12 | 10 | https://genius.com/songs/2170151/apple_music_player
470689 | Where U Been? Single Art | 36890 | 14325 | 2013-08-01 | 2013 | 8 | 1 | https://genius.com/songs/470689/apple_music_player
163112 | War (Skit) | 8985 | 583 | 2011-02-15 | 2011 | 2 | 15 | https://genius.com/songs/163112/apple_music_player
3906874 | A Better Idea |  | 1195637 | 2018-08-17 | 2018 | 8 | 17 | https://genius.com/songs/3906874/apple_music_player
